1,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,5/15/2000,4.7.8
2,IRON MOON,A Fast-Paced Documentary of a Mad Cow And a Boy who must Pursue a Dentist in A Baloon,8/31/2001,0.0.2
3,RIDGEMONT SUBMARINE,A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan,5/23/2002,9.5.8
4,KWAI HOMEWARD,A Amazing Drama of a Car And a Squirrel who must Pursue a Car in Soviet Georgia,11/26/2002,7.7.2
5,LABYRINTH LEAGUE,A Awe-Inspiring Saga of a Composer And a Frisbee who must Succumb a Pioneer in The Sahara Desert,2/18/2003,6.1.1
6,SHANGHAI TYCOON,A Fast-Paced Character Study of a Crocodile And a Lumberjack who must Build a Husband in An Abandoned Fun House,2/22/2003,9.2.2
7,SUSPECTS QUILLS,A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse,4/28/2005,6.2.3
8,HALLOWEEN NUTS,A Amazing Panorama of a Forensic Psychologist And a Technical Writer who must Fight a Dentist in A U-Boat,6/22/2005,2.9.9
9,HANOVER GALAXY,A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention,1/1/2006,5.5.6
10,HAWK CHILL,A Action-Packed Drama of a Mad Scientist And a Composer who must Outgun a Car in Australia,3/13/2006,2.0.3
11,DIVORCE SHINING,A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India,10/4/2006,0.2.0
12,DOWNHILL ENOUGH,A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert,2/26/2007,4.1.2
13,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,5/22/2007,4.2.4
14,MIDSUMMER GROUNDHOG,A Fateful Panorama of a Moose And a Dog who must Chase a Crocodile in Ancient Japan,7/25/2007,5.6.7
15,STEPMOM DREAM,A Touching Epistle of a Crocodile And a Teacher who must Build a Forensic Psychologist in A MySQL Convention,9/25/2007,7.7.9
16,SUNSET RACER,A Awe-Inspiring Reflection of a Astronaut And a A Shark who must Defeat a Forensic Psychologist in California,12/10/2007,8.4.8
17,NOTTING SPEAKEASY,A Thoughtful Display of a Butler And a Womanizer who must Find a Waitress in The Canadian Rockies,1/7/2008,7.2.5
18,ODDS BOOGIE,A Thrilling Yarn of a Feminist And a Madman who must Battle a Hunter in Berlin,8/28/2008,5.8.9
19,PARADISE SABRINA,A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse,11/7/2009,2.9.4
20,HEAVEN FREEDOM,A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans,2/25/2012,4.8.0
21,PELICAN COMFORTS,A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin,3/14/2012,6.5.0
22,VALENTINE VANISHING,A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California,3/25/2012,3.2.8
23,RUSH GOODFELLAS,A Emotional Display of a Man And a Dentist who must Challenge a Squirrel in Australia,1/9/2013,6.4.6
24,GROSSE WONDERFUL,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,2/8/2013,6.8.0
25,HEAVENLY GUN,A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat,5/16/2013,7.9.0
26,HOOK CHARIOTS,A Insightful Story of a Boy And a Dog who must Redeem a Boy in Australia,4/4/2000,2.7.2
27,HURRICANE AFFAIR,A Lacklusture Epistle of a Database Administrator And a Woman who must Meet a Hunter in An Abandoned Mine Shaft,11/15/2000,7.9.4
28,DOORS PRESIDENT,A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico,5/12/2001,8.8.4
29,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,6/17/2001,1.8.9
30,LION UNCUT,A Intrepid Display of a Pastry Chef And a Cat who must Kill a A Shark in Ancient China,10/30/2001,5.5.0
31,SMOKING BARBARELLA,A Lacklusture Saga of a Mad Cow And a Mad Scientist who must Sink a Cat in A MySQL Convention,1/8/2003,5.5.8
32,BLUES INSTINCT,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,1/13/2003,2.2.8
33,MUPPET MILE,A Lacklusture Story of a Madman And a Teacher who must Kill a Frisbee in The Gulf of Mexico,5/8/2004,6.0.9
34,NATURAL STOCK,A Fast-Paced Story of a Sumo Wrestler And a Girl who must Defeat a Car in A Baloon Factory,5/19/2005,1.4.5
35,PILOT HOOSIERS,A Awe-Inspiring Reflection of a Crocodile And a Sumo Wrestler who must Meet a Forensic Psychologist in An Abandoned Mine Shaft,12/15/2005,8.8.1
36,CROSSING DIVORCE,A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin,5/5/2006,3.3.0
37,ZORRO ARK,A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery,9/23/2007,4.0.9
38,ENGLISH BULWORTH,A Intrepid Epistle of a Pastry Chef And a Pastry Chef who must Pursue a Crocodile in Ancient China,12/14/2007,3.9.4
39,SIMON NORTH,A Thrilling Documentary of a Technical Writer And a A Shark who must Face a Pioneer in A Shark Tank,11/12/2008,3.1.5
40,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,11/20/2009,0.3.0
41,FRISCO FORREST,A Beautiful Documentary of a Woman And a Pioneer who must Pursue a Mad Scientist in A Shark Tank,2/12/2010,5.0.6
42,CHAMPION FLATLINERS,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,2/23/2010,2.9.8
43,HALL CASSIDY,A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia,6/30/2010,3.4.4
44,DEEP CRUSADE,A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia,9/1/2010,0.7.7
45,SIDE ARK,A Stunning Panorama of a Crocodile And a Womanizer who must Meet a Feminist in The Canadian Rockies,4/20/2011,0.8.6
46,LUST LOCK,A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert,7/3/2011,9.3.3
47,SPARTACUS CHEAPER,A Thrilling Panorama of a Pastry Chef And a Secret Agent who must Overcome a Student in A Manhattan Penthouse,10/14/2012,3.8.1
48,CADDYSHACK JEDI,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,12/15/2012,1.8.9
49,TROJAN TOMORROW,A Astounding Panorama of a Husband And a Sumo Wrestler who must Pursue a Boat in Ancient India,5/2/2013,8.3.4
50,HARPER DYING,A Awe-Inspiring Reflection of a Woman And a Cat who must Confront a Feminist in The Sahara Desert,6/22/2013,8.1.4
51,WESTWARD SEABISCUIT,A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China,5/24/2001,4.4.2
52,MAGNIFICENT CHITTY,A Insightful Story of a Teacher And a Hunter who must Face a Mad Cow in California,7/11/2001,5.5.9
53,BENEATH RUSH,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,12/20/2001,7.3.7
54,MOVIE SHAKESPEARE,A Insightful Display of a Database Administrator And a Student who must Build a Hunter in Berlin,6/9/2002,1.3.5
55,SUMMER SCARFACE,A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank,11/28/2002,2.2.7
56,CABIN FLASH,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,2/15/2003,2.8.4
57,TEQUILA PAST,A Action-Packed Panorama of a Mad Scientist And a Robot who must Challenge a Student in Nigeria,8/10/2004,2.4.3
58,THIN SAGEBRUSH,A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India,1/16/2005,1.5.8
59,GUMP DATE,A Intrepid Yarn of a Explorer And a Student who must Kill a Husband in An Abandoned Mine Shaft,11/13/2005,8.9.7
60,PRIMARY GLASS,A Fateful Documentary of a Pastry Chef And a Butler who must Build a Dog in The Canadian Rockies,7/9/2006,3.4.3
61,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,12/19/2006,0.0.7
62,SENSE GREEK,A Taut Saga of a Lumberjack And a Pastry Chef who must Escape a Sumo Wrestler in An Abandoned Fun House,8/26/2007,6.1.4
63,GO PURPLE,A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon,11/13/2007,6.2.2
64,OCTOBER SUBMARINE,A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat,6/6/2008,4.5.9
65,JUGGLER HARDLY,A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California,7/13/2008,6.1.2
66,KILL BROTHERHOOD,A Touching Display of a Hunter And a Secret Agent who must Redeem a Husband in The Outback,8/2/2009,6.6.3
67,COAST RAINBOW,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,1/10/2010,1.0.1
68,WOLVES DESIRE,A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse,4/3/2010,0.2.9
69,MATRIX SNOWMAN,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,9/16/2010,4.7.6
70,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,8/19/2011,6.7.5
71,GOODFELLAS SALUTE,A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory,9/19/2011,5.3.5
72,CUPBOARD SINNERS,A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park,7/31/2012,6.1.1
73,DESTINY SATURDAY,A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia,11/19/2012,9.2.2
74,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2/9/2013,0.2.7
75,STORM HAPPINESS,A Insightful Drama of a Feminist And a A Shark who must Vanquish a Boat in A Shark Tank,11/1/2013,1.0.8
76,MOSQUITO ARMAGEDDON,A Thoughtful Character Study of a Waitress And a Feminist who must Build a Teacher in Ancient Japan,3/15/2000,2.9.9
77,NOON PAPI,A Unbelieveable Character Study of a Mad Scientist And a Astronaut who must Find a Pioneer in A Manhattan Penthouse,11/5/2000,3.5.1
78,CRANES RESERVOIR,A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory,1/23/2001,8.9.1
79,DAWN POND,A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin,5/10/2001,9.1.3
80,DOCTOR GRAIL,A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback,4/18/2003,8.3.5
81,FANTASY TROOPERS,A Touching Saga of a Teacher And a Monkey who must Overcome a Secret Agent in A MySQL Convention,6/17/2003,4.8.6
82,SUPER WYOMING,A Action-Packed Saga of a Pastry Chef And a Explorer who must Discover a A Shark in The Outback,2/8/2004,6.6.5
83,OKLAHOMA JUMANJI,A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert,6/14/2004,7.4.2
84,CLOSER BANG,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,8/17/2004,6.1.9
85,DANCES NONE,A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park,6/19/2005,9.6.3
86,RINGS HEARTBREAKERS,A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans,7/5/2005,2.1.4
87,JEKYLL FROGMEN,A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank,11/2/2005,2.6.3
88,LEGEND JEDI,A Awe-Inspiring Epistle of a Pioneer And a Student who must Outgun a Crocodile in The Outback,5/24/2006,0.5.2
89,MINORITY KISS,A Insightful Display of a Lumberjack And a Sumo Wrestler who must Meet a Man in The Outback,1/8/2008,1.8.1
90,HEARTBREAKERS BRIGHT,A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies,12/23/2008,1.6.0
91,COMMANDMENTS EXPRESS,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,1/15/2009,9.5.4
92,VISION TORQUE,A Thoughtful Documentary of a Dog And a Man who must Sink a Man in A Shark Tank,3/14/2010,6.0.5
93,WHISPERER GIANT,A Intrepid Story of a Dentist And a Hunter who must Confront a Monkey in Ancient Japan,6/23/2010,5.3.9
94,INTERVIEW LIAISONS,A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse,3/11/2011,0.8.2
95,DAUGHTER MADIGAN,A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station,3/19/2011,0.8.2
96,JET NEIGHBORS,A Amazing Display of a Lumberjack And a Teacher who must Outrace a Woman in A U-Boat,2/25/2012,5.5.5
97,SHAKESPEARE SADDLE,A Fast-Paced Panorama of a Lumberjack And a Database Administrator who must Defeat a Madman in A MySQL Convention,3/11/2012,0.4.2
98,SMILE EARRING,A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin,6/25/2012,3.6.8
99,MOCKINGBIRD HOLLYWOOD,A Thoughtful Panorama of a Man And a Car who must Sink a Composer in Berlin,7/27/2012,3.1.3
100,BUBBLE GROSSE,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,10/22/2013,2.0.2
